Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,SectorBalance,TyreAge_Bucket,IsAnomaly
VER,Red Bull Racing,2.0,96.296,30.916,41.661,23.719,SOFT,5.0,232.0,248.0,276.0,287.0,7.196999999999999,Fresh,False
VER,Red Bull Racing,3.0,96.753,30.999,41.966,23.788,SOFT,6.0,231.0,243.0,276.0,290.0,7.2109999999999985,Fresh,False
VER,Red Bull Racing,4.0,96.647,30.931,41.892,23.824,SOFT,7.0,233.0,253.0,276.0,290.0,7.106999999999999,Fresh,False
VER,Red Bull Racing,5.0,97.173,31.255,42.056,23.862,SOFT,8.0,231.0,245.0,276.0,289.0,7.393000000000001,Fresh,False
VER,Red Bull Racing,6.0,97.092,31.041,42.187,23.864,SOFT,9.0,231.0,247.0,276.0,296.0,7.177,Fresh,False
VER,Red Bull Racing,7.0,97.038,31.015,42.118,23.905,SOFT,10.0,232.0,242.0,277.0,291.0,7.109999999999999,Fresh,False
VER,Red Bull Racing,8.0,97.024,31.041,42.077,23.906,SOFT,11.0,231.0,250.0,277.0,291.0,7.135000000000002,Used,False
VER,Red Bull Racing,9.0,97.229,31.1,42.166,23.963,SOFT,12.0,231.0,243.0,276.0,292.0,7.1370000000000005,Used,False
VER,Red Bull Racing,10.0,96.96,30.986,42.009,23.965,SOFT,13.0,232.0,244.0,277.0,293.0,7.021000000000001,Used,False
VER,Red Bull Racing,11.0,97.085,30.974,42.142,23.969,SOFT,14.0,232.0,246.0,277.0,292.0,7.004999999999999,Used,False
VER,Red Bull Racing,12.0,97.045,30.966,42.091,23.988,SOFT,15.0,234.0,249.0,277.0,292.0,6.9780000000000015,Used,False
VER,Red Bull Racing,13.0,97.03,30.964,42.055,24.011,SOFT,16.0,233.0,251.0,277.0,292.0,6.952999999999999,Used,False
VER,Red Bull Racing,14.0,97.028,30.938,42.042,24.048,SOFT,17.0,233.0,253.0,277.0,293.0,6.890000000000001,Used,False
VER,Red Bull Racing,15.0,97.011,30.887,42.058,24.066,SOFT,18.0,232.0,254.0,276.0,293.0,6.8210000000000015,Used,False
VER,Red Bull Racing,16.0,97.168,31.048,42.032,24.088,SOFT,19.0,233.0,260.0,277.0,292.0,6.959999999999997,Used,False
VER,Red Bull Racing,17.0,99.896,31.006,42.06,26.83,SOFT,20.0,232.0,262.0,,293.0,4.176000000000002,Used,False
VER,Red Bull Racing,18.0,117.854,52.815,41.511,23.528,HARD,1.0,232.0,252.0,277.0,212.0,29.287,Fresh,True
VER,Red Bull Racing,19.0,95.283,30.628,41.162,23.493,HARD,2.0,233.0,248.0,278.0,288.0,7.135000000000002,Fresh,False
VER,Red Bull Racing,20.0,95.16,30.585,41.1,23.475,HARD,3.0,233.0,256.0,278.0,291.0,7.109999999999999,Fresh,False
VER,Red Bull Racing,21.0,95.316,30.576,41.24,23.5,HARD,4.0,235.0,251.0,278.0,293.0,7.0760000000000005,Fresh,False
VER,Red Bull Racing,22.0,95.204,30.56,41.142,23.502,HARD,5.0,234.0,254.0,279.0,294.0,7.058,Fresh,False
VER,Red Bull Racing,23.0,95.216,30.553,41.145,23.518,HARD,6.0,234.0,253.0,279.0,294.0,7.035,Fresh,False
VER,Red Bull Racing,24.0,95.289,30.548,41.257,23.484,HARD,7.0,234.0,257.0,279.0,294.0,7.0639999999999965,Fresh,False
VER,Red Bull Racing,25.0,95.342,30.518,41.282,23.542,HARD,8.0,233.0,250.0,279.0,295.0,6.975999999999999,Fresh,False
VER,Red Bull Racing,26.0,95.223,30.522,41.14,23.561,HARD,9.0,235.0,257.0,279.0,295.0,6.9609999999999985,Fresh,False
VER,Red Bull Racing,27.0,95.581,30.649,41.338,23.594,HARD,10.0,230.0,250.0,279.0,294.0,7.055,Fresh,False
VER,Red Bull Racing,28.0,95.477,30.588,41.272,23.617,HARD,11.0,233.0,258.0,278.0,293.0,6.971,Used,False
VER,Red Bull Racing,29.0,95.793,30.679,41.485,23.629,HARD,12.0,234.0,258.0,279.0,293.0,7.049999999999997,Used,False
VER,Red Bull Racing,30.0,95.771,30.657,41.47,23.644,HARD,13.0,234.0,254.0,279.0,294.0,7.013000000000002,Used,False
VER,Red Bull Racing,31.0,95.679,30.635,41.435,23.609,HARD,14.0,234.0,260.0,279.0,295.0,7.026,Used,False
VER,Red Bull Racing,32.0,95.886,30.669,41.519,23.698,HARD,15.0,234.0,260.0,279.0,296.0,6.971,Used,False
